manufacturer,model,impedance_ohm,fs_hz,qts,qes,qms,vas_l,re_ohm,le_mh,sd_cm2,mms_g,mmd_g,cms_mm_per_n,rms_ns_per_m,bl_tm,xmax_mm,xmech_mm,vd_cm3,linear_travel_pp_mm,max_travel_pp_mm,xlin_mm,eta0_percent,ebp_hz,sensitivity_db,power_rms_w,power_handling_w,nominal_diameter_in,qa_as_printed,sensitivity_1w_1m_db,sensitivity_2v83_1m_db,le_frequency_hz,nominal_diameter_mm,overall_diameter_mm,overall_width_mm,overall_height_mm,overall_depth_mm,mounting_depth_mm,cutout_diameter_mm,bolt_circle_diameter_mm,mounting_hole_diameter_mm,mounting_hole_count,flange_thickness_mm,magnet_diameter_mm,magnet_depth_mm,voice_coil_diameter_mm,voice_coil_height_mm,voice_coil_former_height_mm,gap_height_mm,effective_diaphragm_diameter_mm,cone_dome_diameter_mm,ribbon_dimension_1_mm,ribbon_dimension_2_mm,overall_dimension_1_mm,overall_dimension_2_mm,overall_dimension_3_mm,cutout_dimension_1_mm,cutout_dimension_2_mm,tweeter_voice_coil_diameter_mm,tweeter_voice_coil_height_mm,tweeter_gap_height_mm,krm_microohm,erm,kxm_mh,exm,power_peak_w,frequency_min_hz,frequency_max_hz,crossover_frequency_hz,crossover_slope_db_per_oct,power_continuous_iec268_5_w,power_test_highpass_hz,power_test_highpass_slope_db_per_oct,net_weight_kg,magnet_weight_g,sensitivity_tolerance_db
Dayton Audio,DMA105-8,8,72,0.63,0.83,2.64,4.2475269888,7.5,0.6,54.1,4.9,,1,,4.47,2.5,,,,,,,,84.8,35,,,,,84.8,,101.6,,,,47.24,,98.43,127,,4,,,,25.4,,,,,,,,104.14,104.14,,,,,,,,,,,,,,,,,,,,,
Dayton Audio,DMA45-8,8,150.7,0.59,0.68,4.59,0.055,7,0.4,8.6,1.8,1.8,0.6,,4.26,2,,1.7,,,,,,76.9,10,,,,,76.9,1000,38.1,,,,26.1,,40,50.2,,4,,,,19.05,,,,,,,,46,46,29.1,,,,,,,,,,,,,,,,,,,,
Dayton Audio,DMA70-4,4,113,0.44,0.56,2.04,0.5097032387,3.98,0.3,22.9,2.8,,0.71,,3.7,2,,4.6,,,,,,86.2,20,,,,,86.2,1000,63,,,,,,,,,,,,,25.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dayton Audio,DMA70-8,8,113.7,0.5,0.73,2.06,0.566,7.5,0.5,22.9,2.6,2.5,0.73,,4.7,2,,4.6,,,,,,82.9,20,,,,,82.9,,,,,,68.6,,64,84.1,,4,,,,25.4,,,,,,,,70,70,,,,,,,,,,,,,,,,,,,,,
Dayton Audio,DMA80-4,4,93.5,0.41,0.51,1.97,1.4158423296,4,0.2,31.2,3.02,,0.96,,3.74,2.5,,,,,,,,88.1,25,,,,,,,76,,,,38.9,,74.4,95.2,,4,,,,25.4,,,,,,,,80.3,80.3,,,,,,,,,,,,,,,,,,,,,
Dayton Audio,DMA80-8,8,97.6,0.47,0.61,2.06,1.1326738637,7.5,0.5,31.2,2.7,,0.98,,4.52,2.5,,,,,,,,85.3,25,,,,,,,76,,,,38.9,,74.4,95.2,,4,,,,25.4,,,,,,,,80.3,80.3,,,,,,,,,,,,,,,,,,,,,
Dayton Audio,DML25-4,4,212,1.1,1.5,3.83,0.0226534773,4.3,0.09,16,3.7,,0.15,,3.86,1.5,,24.1,,,,,,82.1,20,,,,,82.1,,50.8,,,,26.4,,,,,4,,,,24.9,,,,,,,,66.8,66.8,,59.4,59.4,,,,,,,,,,,,,,,,,,
Dayton Audio,DS115-8,8,55.2,0.38,0.46,2.1,4.33,5.8,0.8,54.1,7.9,,1.05,,5.88,4.1,,22.2,,,,,,85.3,35,35,4,,,85.3,1000,101.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dayton Audio,DS135-8,8,52.5,0.39,0.48,2.02,7.2774295741,5.9,0.84,75.4,9.7,,0.95,,6.23,4.85,,36.6,,,,,,86.6,50,50,5,,,86.6,1000,127,134.9,,,68.5,,,,,4,,,,25.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dayton Audio,DS175-8,8,37,0.27,0.32,1.63,16.990107955,5.7,1.06,128.7,26,,0.71,,10.4,5.25,,67.6,,,,,,87.7,70,70,,,,87.7,1000,165,175.6,,,80.6,,144,,,,,,,35.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dayton Audio,DS215-8,8,34.3,0.31,0.38,1.75,43.0416068198,5.8,1.25,211.2,29.7,,0.72,,9.89,5.5,,116.2,,,,,,89.9,80,80,8,,,89.9,1000,203.2,215.9,,,95.5,,180,,,5,,,,38.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dayton Audio,DS270-8,8,31.6,0.44,0.54,2.4,87.4990559693,5.4,1.25,353,56.4,,0.48,,10.1,5.5,,194.1,,,,,,90.7,100,,10,,,90.7,,254,270,,,112,,227,260.1,,5,,,,38.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dayton Audio,DS315-8,8,24.2,0.31,0.37,1.79,159,6.1,1.43,506.7,97.4,,0.44,,15.6,5.5,,276.7,,,,,,91,120,120,12,,,91,1000,304.8,313.9,,,130,,272,,,5,,,,49.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dayton Audio,DS90-8,8,81.4,0.43,0.53,2.19,1.31,6.3,0.56,31.2,3.8,,1.02,,4.76,2.5,,7.8,,,,,,84.1,20,20,3,,,84.1,1000,76.2,,,,,,,,,,,,,20.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dayton Audio,DSA115-8,8,63.25,0.42,0.53,2,3.9643585229,5.9,0.63,54.1,6.7,,0.94,,5.44,4.1,,22.2,,,,,,86.1,35,35,4,,,86.1,1000,101.6,115.6,,,54.6,,93.8,,,4,,,,25.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dayton Audio,DSA135-8,8,51.81,0.38,0.47,2.04,7.9287170458,5.9,0.78,75.4,9.5,,0.99,,6.22,4.9,,36.6,,,,,,87,50,50,5,,,87,1000,127,135,,,69,,111,,,4,,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dayton Audio,DSA175-8,8,38.36,0.29,0.35,1.66,18.689118751,5.8,0.85,128.7,24.2,,0.71,,9.75,5.3,,67.6,,,,,,88.1,70,70,,,,88.1,1000,165,,,,80.5,,144,,,5,,,,35.6,,,,,,,,175.5,,,,,,,,,,,,,,,,,,,,,,
Dayton Audio,DSA215-8,8,35,0.33,0.4,1.87,37.4,5.9,1,211.2,34.6,,0.6,,10.6,5.5,,116.2,,,,,,89.2,80,80,8,,,89.2,1000,203.2,216,,,95.5,,180,,,,,,,38.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dayton Audio,DSA270-8,8,29.6,0.39,0.47,2.09,88.1,5.4,1.07,353,59.6,54.7,0.49,,11.2,5.5,,194.2,,,,,,90.4,100,100,10,,90.4,90.4,1000,254,,,,,,227,260,,5,,,,38.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dayton Audio,DSA315-8,8,24.23,0.33,0.4,1.89,146.964433812,6,1.11,506.7,113.1,,0.38,,16.1,5.5,,276.7,,,,,,90.3,120,120,12,,,90.3,1000,304.8,314,,,,,272,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dayton Audio,DSA90-8,8,66.62,0.37,0.45,2.15,2.27,6.6,0.53,31.2,3.5,,1.64,,4.61,2.5,,7.8,,,,,,85,20,20,3,,,84.7,1000,76.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dayton Audio,E150HE-44,8,40,0.39,0.45,2.94,7.64554857984,6.6,1.6,95,26.6,,0.6,,9.8,14.7,,,,,,,,83.3,200,,,,,83.3,1000,,,,,,,127,,,4,,,,38.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dayton Audio,E150MR-8,8,74,0.58,0.67,4.23,8,6.5,0.1,100.3,8.3,,0.56,,6.12,2.7,,27.1,,,,,,89.6,60,,,,,89.6,1000,152.4,152.4,,,74.422,,125.48,,,4,,,,31.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dayton Audio,E180HE-44,8,35,0.46,0.54,2.93,16.14060255744,6.8,1.5,136.1,32.5,,0.61,,9.6,14.7,,200.6,,,,,,83.8,200,,,,,83.8,1000,178,,,,,,,,,6,,,,38.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dayton Audio,GF180-4,4,49,0.42,0.48,3.43,16.42,4.4,1.1,130.2,14.8,,0.7,,6.5,4,,,,,,,,90.7,40,,,,,90.7,,165,177.8,,,81,,144,,,4,,,,25.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dayton Audio,GF180-8,8,53,0.5,0.6,3.07,15.6,8,1.9,130.2,13.9,,0.65,,7.9,4,,,,,,,,87.9,40,,,,,87.9,,165,177.8,,,81,,144,,,4,,,,25.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dayton Audio,HTS545HE-4,4,26.3,0.28,0.29,7.9,178.9624704614,3.8,8.5,1525,676,,0.054,,38.3,21,,,,,,,,95.6,2000,,,,,95.6,,533,544.8,,,261.6,,495.3,520.7,,8,,,,127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dayton Audio,LS10-44,4,34.3,0.43,0.47,5.15,30.8,7.4,5.25,366.4,132,,0.16,,21.1,10,,36.4,,,,,,86.5,250,,,,,86.5,,,272.2,,,84.5,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dayton Audio,LS10-44,8,34.3,0.43,0.47,5.15,30.582194319,7.4,5.25,366.4,132,,0.16,,21.1,10,,,,,,,,,250,,10,,,,,254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dayton Audio,LW150-4,4,62.6,0.64,0.72,6.01,3.398021591,3.6,0.86,91,21.8,,0.296,,6.51,4,,,,,,,,,40,,6,,,,,152.4,,,,38.1,,,,,4,,,,30.5,,,,,,,,152.4,,,,,,,,,,,,,,,,,,,,,,
Dayton Audio,MB620-8,8,104,0.59,0.69,4.29,6.77,5.47,0.93,132.73,8.59,,0.274,,6.68,2,,26,,,,,,94,200,,,,,94,,165.1,166.88,,,80.01,,147.32,156.21,,4,,,,50.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dayton Audio,MX10-22,4,32.6,0.46,0.53,3.59,23.79,4.76,4.33,356.7,179,,0.13,,18.2,11.6,,,,,,,,86.1,400,,,,,86.1,,254,262.4,,,159.2,,229.9,,,8,,,,63.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dayton Audio,MX12-22,4,28.8,0.35,0.39,3.25,45.59012301312,3.95,5.09,514.7,252,,0.12,,21.5,15.5,,,,,,,,,600,,,,,,,305,315.7,,,197.6,,283.9,,,8,,,,63.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dayton Audio,MX15-22,4,21.7,0.4,0.46,4.27,146.11492841472,3.99,5.51,819.8,348,,0.16,,20.6,19,,,,,,,,,800,,,,,,,381,391.7,,,231.9,,355.8,,,8,,,,63.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dayton Audio,MX5-22,4,45,0.43,0.5,3.02,4.8704976138,4.3,1.1,84.4,26,,0.48,,8,9.3,,79.5,,,,,,84.3,50,,,,,84.3,,133,152.4,,,88.9,,120.65,,,8,,,,31.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dayton Audio,ND105-4,4,78.7,0.61,0.66,7.42,1.97,3.7,0.76,51.5,7.4,,0.55,,4.52,4,,20.6,,,,,,87,30,30,,,,86.8,1000,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dayton Audio,ND105-8,8,66.6,0.66,0.74,5.57,2.9449520456,7.7,1.25,51.5,6.8,,0.84,,0.84,4,,20.6,,,,,,82.7,30,30,,,,82.7,1000,101.6,104.9,,,67,,92,,,4,,,,25.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dayton Audio,ND140-4,4,59.2,0.63,0.72,5.35,7.22,3.7,0.79,86.6,10.1,,0.71,,4.42,4,,34.6,,,,,,88.4,40,40,,,,88.4,1000,,138,,,,,120,,,,,,,25.4,,,,,,,,138,70.5,,,,,,,,,,,,,,,,,,,,,
Dayton Audio,ND140-8,8,56.5,0.68,0.79,5.01,7.74,7.8,1.44,86.6,10.4,,0.76,,6.05,4,,34.6,,,,,,84.5,40,40,,,,84.5,1000,,138,,,70.5,,120,,,4,,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dayton Audio,ND140-PR,4,44.2,0.63,0.72,4.02,8.4,3.7,0.79,86.6,16.4,,0.79,1.13,4.42,9,,34.6,,,,,,,40,,,,,,1000,133,139.7,,,63.5,,120,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dayton Audio,ND64-4,4,103,0.33,0.36,4.36,0.42,3.7,0.37,15.6,2.56,2.5,0.93,,4.13,1.9,,3,,,,,,85.2,15,,,,,85.2,,63,64,,,39,,53,,,4,,,,,,,,45,,,,64,38.8,,,,,,,,,,,,,,,,,,,,,
Dayton Audio,ND65-4,4,89.5,0.61,0.68,5.56,0.53,3.5,0.44,15.6,2.5,,1.26,,2.68,3.5,,5.4,,,,,,83,15,15,,,,83,1000,63.5,64,,,48,,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dayton Audio,ND65-8,8,77.4,0.41,0.46,4.01,0.5663369318,7.4,1.04,15.6,2.5,,1.68,,4.47,3.5,,5.4,,,,,,80.8,15,,,,,80.8,,63,63.5,,,50.8,,,,,4,,,,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dayton Audio,ND90-4,4,90.2,0.63,0.72,5.1,1.06,3.6,0.62,31.2,4.3,,0.73,,3.47,4,,12.5,,,,,,85.7,20,20,,,,85.7,1000,89,103.4,,,60.7,,85.1,,,4,,,,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dayton Audio,ND90-8,8,70.7,0.65,0.75,4.71,1.77,7.5,1.08,31.2,4.2,,1.22,,4.3,4,,12.5,,,,,,81.4,20,20,,,,81.4,1000,89,,,,,,,,,,,,,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dayton Audio,ND91-4,4,74,0.41,0.45,4.24,1.41584233,4.3,0.83,30.4,4.8,,0.96,,4.59,4.6,,,,,,,,86,30,,,,,,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dayton Audio,ND91-8,8,70.7,0.47,0.53,4.29,1.53,7.8,1.24,30.4,4.8,,1.05,,5.63,5.1,,12.2,,,,,,82.1,30,,,,,82.1,1000,102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dayton Audio,PA130-8,8,83.4,0.51,0.6,3.21,3.95,7.1,0.71,73.9,6.8,,0.54,,6.44,2,,14.8,,,,,,88.2,50,50,,,,88.2,1000,127,132,,,67.5,,112,,,4,,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dayton Audio,PA200-8,8,55.2,0.48,0.51,6.17,26.6,6.2,1.09,210.4,20.5,,0.4,,9.28,3,,0.631,,,,,,92.4,250,,,,,92.4,,203.2,210,,,108,,182,201.9,,8,,,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dayton Audio,PA255-8,8,50.5,0.61,0.66,8.49,41.2,5.5,1.49,346.4,42.3,,0.24,,10.6,5,,173.2,,,,,,92.6,300,300,,,,92.6,,254,254,,,125,,232,,,8,,,,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dayton Audio,PA310-8,8,39,0.29,0.3,8.85,91.7465829581,5.5,1.68,530.9,72.8,,0.23,,18,5,,265.5,,,,,,96.1,450,450,,,,96.1,,,310,,,143,,283,,,8,,,,76.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dayton Audio,PA380-8,8,31.6,0.27,0.27,12.2,175,6.3,4.12,845,147,,0.17,,25.8,5,,422.5,,,,,,96.1,500,500,,,,96.1,1000,381,380,,,,,355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dayton Audio,PA460-8,8,28.3,0.33,0.34,11.2,401.8160531405,5.6,3.9,1241.1,171,,0.19,,22.3,6,,746.5,,,,,,97.8,500,500,,,,97.8,,,460,,,198,,424.9,,,8,,,,76.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dayton Audio,PC105-4,4,81.4,0.51,0.67,2.17,3.681190057,3.3,0.32,52.8,4.2,,0.92,,3.3,2,,10.6,,,,,,90,40,,,,,90.3,,,125.984,,,59.9,,101.6,113,,4,,,,25.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dayton Audio,PC105-8,8,84.8,0.64,0.88,2.29,3.398021591,6.7,0.54,52.8,4.2,,0.84,,4.1,2,,10.6,,,,,,86.3,40,,,,,86.3,,107,107,,,102,,,,,,,,,25.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dayton Audio,PC68-4,4,117.1,0.65,0.87,2.49,0.7,3.8,0.29,21.2,1.7,,1.07,,2.4,2,,4.2,,,,,,86.1,20,,,,,86.1,,63.5,68,,,37,,64,73,,4,,,,19.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dayton Audio,PC68-8,8,109,0.64,0.88,2.27,1.3,6.9,0.47,21,2,1.9,1.05,,3.3,2,,,,,,,,85.6,20,,,,,85.6,,63.5,,,,37.1,,64,,,4,,,,19.05,,,,,,,,68,68,37,,,,,,,,,,,,,,,,,,,,
Dayton Audio,PC83-4,4,80,0.54,0.64,3.41,1.98217926144,3.9,0.38,30.2,2.7,2.7,1.47,,2.9,2,,6,,,,,,,30,,,,,,,76,83,,,50,,,,,4,,,,25.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dayton Audio,PC83-8,8,80,0.54,0.64,3.41,1.98217926144,3.9,0.38,30.2,2.7,,1.47,,2.9,2,,6,,,,,,86,30,,,,,,,76,83,,,50,,,92.5,,4,,,,,,,,,,,,83,,,,,,,,,,,,,,,,,,,,,,
Dayton Audio,PCS115-4,4,88,0.79,1.5,3.11,1.769802912,3.6,0.37,51.5,6.95,,0.47,,3.6,2.75,,14.2,,,,,,86.1,20,,,,,86.1,,101.6,114.3,,,57.1,,94,,,4,,,,25.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dayton Audio,PCS115-8,8,87,0.84,1.22,2.69,1.769802912,6.8,0.55,51.5,7,,0.48,,4.6,3.5,,17.9,,,,,,82.5,20,,,,,82.5,,101.6,114.3,,,57.1,,94,,,4,,,,25.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dayton Audio,PCS175-4,4,56,0.73,0.98,2.85,13.7053537505,3.7,0.8,143,17.2,,0.47,,4.78,2,,28.7,,,,,,89.2,30,,,,,89.2,,165,177.8,,,70,,146,,,4,,,,25.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dayton Audio,PCS175-8,8,56,0.83,1.15,3,14.8097107676,6.6,1.25,143,15.5,,0.52,,5.6,2.25,,31.8,,,,,,86.4,30,,,,,86.4,,165,177.8,,,70,,146,,,4,,,,25.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dayton Audio,PM220-8,8,49.1,0.38,0.41,5.08,62.8633994342,6.5,0.8,205.3,10.7,,0.98,,7.21,4.6,,,,,,,,95.4,40,,,,,95.4,,203.2,221.5,,,88.6,,181.1,210.1,,6,,,,25.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dayton Audio,PS180-8,8,58.5,0.33,0.36,3.64,28.316846592,6.4,0.63,132.7,7,,1.05,,6.82,4.6,,,,,,,,95,30,,,,,,,,180,,,,,145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dayton Audio,PS220-8,8,46.4,0.38,0.4,5.73,90.2,6.2,0.73,216.4,8.4,,1.41,,6.15,4.8,,99.6,,,,,,96.5,40,40,8,,,96.5,1000,203.2,,,,,,,,,,,,,25.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dayton Audio,PS95-8,8,119.8,0.72,0.8,7.33,0.94,7.1,0.63,28.3,2.2,,0.79,,3.83,2.5,,7.08,,,,,,83,10,10,,,,85.56,1000,,76.8,,,52.3,,69.8,,,4,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dayton Audio,PSS545HE-4,4,28.8,0.27,0.28,7.28,212.0931809741,3.8,8.2,1590,511.2,,0.06,,35.5,21,,,,,,,,97.7,2000,,,,,97.7,,533.4,544.8,,,258.6,,495.3,520.7,,8,,,,127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dayton Audio,PSS555-8,8,27.6,0.33,0.34,10.7,444.0081545626,5.4,1.8,1735,316,,0.11,,29.7,11,,,,,,,,96.3,1000,,,,,96.3,,533.4,549.9,,,254,,510.5,,,8,,,,114.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dayton Audio,RS100-4,4,84.8,0.53,0.66,2.55,1.45,3,0.28,35.3,4.3,,0.83,,3.18,4,,14.1,,,,,,87,30,30,4,,,87.5,1000,101.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dayton Audio,RS100-8,8,92.2,0.58,0.76,2.37,1.43,6.4,0.5,35.3,3.63,,0.82,,4.2,3.5,,12.4,,,,,,85,30,30,4,,,84.6,1000,101.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dayton Audio,RS100P-4,4,84.8,0.54,0.67,2.67,1.982179261,3,0.26,36.3,3.7,,0.95,,2.95,4,,,,,,,,,30,,4,,,,,101.6,98,,,50.8,,77.2,89.9,,6,,,,25.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dayton Audio,RS100P-8,8,95.6,0.54,0.71,2.18,1.699010796,6.6,0.51,37.4,2.8,,0.98,,3.95,3.7,,,,,,,,,30,,4,,,,,101.6,98,,,,,77.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dayton Audio,RS125-4,4,76,0.63,0.75,3.97,2.9,3,0.41,52.8,5.93,,0.74,,3.35,4,,21.1,,,,,,88,30,,5,,,,,127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dayton Audio,RS125-8,8,59.2,0.34,0.42,1.74,4.813863921,6.2,0.57,52.8,5.9,,1.22,,5.69,4,,21.1,,,,,,87,30,30,5,,,86.8,1000,127,125.5,,,,,94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dayton Audio,RS125P-4,4,70,0.48,0.57,3.19,3.9643585229,3.1,0.32,54.11,5.1,,1.02,,3.49,4,,21.64,,,,,,90,30,30,5,,,90,1000,127,125.4,,,54.8,,94,,,6,,,,25.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dayton Audio,RS125P-8,8,70,0.44,0.53,2.56,3.964358523,6.2,0.62,52.8,5.1,,1.02,,5.08,4,,,,,,,,87,30,,5,,87,,,127,125.5,,,,,94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dayton Audio,RS150-4,4,45.1,0.33,0.4,1.96,16.4,3.1,0.34,85,7.7,,1.62,,4.1,4.4,,37.4,,,,,,92,40,40,6,,,91.8,1000,152.4,150,,,,,121.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dayton Audio,RS150-8,8,47.8,0.4,0.49,2.15,15,6.13,0.59,84.9,7.5,,1.48,,5.3,4,,34,,,,,,89,40,,6,,,,,152.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dayton Audio,RS150P-4A,4,43.7,0.34,0.42,1.85,15.574265626,3.5,0.39,85,8.6,,1.54,,4.4,4.4,,,,,,,,,40,,6,,,,,152.4,150,,,,,121.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dayton Audio,RS150P-8A,8,47.1,0.34,0.43,1.66,16.706939489,6.7,0.65,85,6.9,,1.65,,5.6,4,,,,,,,,,40,,6,,,,,152.4,150,,,,,121.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dayton Audio,RS180-4,4,39,0.46,0.59,2.13,21.2,3.05,0.45,124.7,17.7,,0.97,,4.71,6,,74.8,,,,,,89.5,60,,7,,,89.5,,177.8,180.5,,,82,,146,,,6,,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dayton Audio,RS180-8,8,39,0.31,0.42,1.22,24.4,6.36,0.73,124.7,17.9,,1.12,,7.82,6,,74.8,,,,,,88.5,60,,7,,,88.5,,177.8,180.5,,,81,,146,,,6,,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dayton Audio,RS180P-4,4,37.7,0.39,0.48,1.98,27.3,3.1,0.47,126.7,14.8,,1.21,,4.67,6,,76.02,,,,,,90.8,60,,7,,,90.8,1000,177.8,180.5,,,,,146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dayton Audio,RS180P-8,8,45.8,0.34,0.44,1.49,22.087140342,6.3,0.84,126.7,12.4,,1,,7.16,6,,,,,,,,,60,,7,,,,,177.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dayton Audio,RS180S-8,8,37.7,0.36,0.49,1.45,23,6.4,0.79,124.7,17,,1.05,,7.28,6,,74.8,,,,,,87,60,60,7,,,86.9,1000,177.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dayton Audio,RS225-4,4,37.7,0.46,0.56,2.39,37.5,2.9,0.56,219,32.02,,0.56,,6.47,6,,131.4,,,,,,91,80,,8,,,,,203.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dayton Audio,RS225-8,8,28.3,0.38,0.51,1.46,56.8,6.5,0.86,213.8,35.8,,0.88,,9.05,7,,149.7,,,,,,86.8,80,80,8,,,86.8,1000,203.2,223,,,89,,184,,,6,,,,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dayton Audio,RS225P-4A,4,37.7,0.38,0.48,1.85,45.590123013,3.3,0.51,213.8,25,25,0.71,,6.4,6,,,,,,,,,80,,8,,,,,203.2,223,,,88.9,,183.9,209,,6,,,,38.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dayton Audio,RS225P-8A,8,31.6,0.34,0.46,1.25,66.8,7.1,1.02,213.8,23.6,,1.07,,8.5,7,,70.3,,,,,,89.1,80,,8,,,89.1,1000,203.2,223,,,89,,184,,,,,,,38.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dayton Audio,RS270-8,8,24.9,0.4,0.52,1.75,120.5,6.78,0.9,346.4,57.1,,0.72,,10.8,6.6,,228.6,,,,,,89,100,,10,,,,,254,272,,,,,236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dayton Audio,RS52AN-8,8,341,0.86,1.18,3.16,0.13,6,0.13,26.4,1.7,,0.13,,4.26,1,,2.64,,,,,,89.4,60,60,,,,89.4,1000,,130,,,57,,,,,,,,,50.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dayton Audio,RS75-4,4,154.1,0.78,0.91,5.39,0.31,3.2,0.19,15.2,1.1,,0.97,,1.94,1.1,,1.7,,,,,,83,15,,3,,,,,76.2,72,,,,,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
